orig_path,species,family
/networks/mangal/weighted/5015.csv,NA,NA
/networks/mangal/weighted/5015.csv,NA,NA
/networks/mangal/weighted/5015.csv,NA,NA
/networks/mangal/weighted/5161.csv,arenaria_congesta,NA
/networks/mangal/weighted/5161.csv,erigeron_speciosus,NA
/networks/mangal/weighted/5161.csv,heterotheca_villosa,NA
/networks/mangal/weighted/5161.csv,potentilla_hippiana,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5175.csv,NA,NA
/networks/mangal/weighted/5149.csv,erigeron_speciosus,NA
/networks/mangal/weighted/5149.csv,heliomeris_multiflora,NA
/networks/mangal/weighted/5149.csv,heterotheca_villosa,NA
/networks/mangal/weighted/5149.csv,arenaria_congesta,NA
/networks/mangal/weighted/5149.csv,campanula_rotundifolia,NA
/networks/mangal/weighted/5149.csv,senecio_serra,NA
/networks/mangal/weighted/5149.csv,potentilla_hippiana,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5148.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5174.csv,NA,NA
/networks/mangal/weighted/5160.csv,NA,NA
/networks/mangal/weighted/5160.csv,NA,NA
/networks/mangal/weighted/5160.csv,NA,NA
/networks/mangal/weighted/5160.csv,NA,NA
/networks/mangal/weighted/5160.csv,NA,NA
/networks/mangal/weighted/5200.csv,NA,NA
/networks/mangal/weighted/5200.csv,NA,NA
